m
1.13
2.96
6.44
10.09
12.88
14.99
19.37
24.52
27.72
35.5
45.37
60.71
81.3
104.19
125.54
138.95
150.7
160.51
184.63
212.51
238.75
280.2
333.48
468.62
814.32
1311.56
1833.14
2359.09
2547.9
2976.1
3365.15
3358.33
3238.83
2992.78
2654.1
2449.91
2077.14
1365.96
560.84
158.18
16.06
-41.9
