time,force
0:00:36,-3.58
0:00:36.083,-1.44
0:00:36.126,-0.8
0:00:36.249,4.14
0:00:36.332,25.35
0:00:36.415,201.44
0:00:36.498,1402.85
0:00:36.581,4362.6
0:00:36.664,8838.35
0:00:36.747,12373.31
0:00:36.830,12749.03
0:00:36.913,11240.45
0:00:37,8882.26
0:00:37.083,5136.12
0:00:37.126,1606.47
0:00:37.249,233.29
0:00:37.332,-29.51
0:00:37.415,-68.14
0:00:37.498,-72.94
0:00:37.581,-72.11
0:00:37.664,-71.48
