time force
0:0:27 -3.94
0:0:27 -3.71
0:0:27 -3.63
0:0:27 -3.69
0:0:27 -3.87
0:0:27 -3.75
0:0:28 -3.72
0:0:28 -3.75
0:0:28 -3.90
0:0:28 -3.62
0:0:28 -3.48
0:0:28 -3.48
0:0:28 -3.94
0:0:28 -3.97
0:0:28 -3.81
0:0:28 -3.84
0:0:28 -3.63
0:0:28 -3.58
0:0:29 -3.31
0:0:29 -3.55
0:0:29 -3.61
0:0:29 -3.43
0:0:29 -3.83
0:0:29 -3.75
0:0:29 -3.47
0:0:29 -3.67
0:0:29 -3.77
0:0:29 -3.88
0:0:29 -3.78
0:0:30 -3.92
0:0:30 -4.02
0:0:30 -3.78
0:0:30 -3.79
0:0:30 -3.85
0:0:30 -4.06
0:0:30 -3.71
0:0:30 -3.55
0:0:30 -3.50
0:0:30 -3.44
0:0:30 -3.93
0:0:30 -3.82
0:0:31 -3.50
0:0:31 -3.89
0:0:31 -4.08
0:0:31 -3.86
0:0:31 -3.68
0:0:31 -4.04
0:0:31 -4.37
0:0:31 -4.19
0:0:31 -4.02
0:0:31 -4.01
0:0:31 -3.94
0:0:32 -3.85
0:0:32 -4.07
0:0:32 -4.47
0:0:32 -4.34
0:0:32 -4.36
0:0:32 -4.37
0:0:32 -4.59
0:0:32 -4.98
0:0:32 -4.71
0:0:32 -4.02
0:0:32 -3.91
0:0:32 -4.16
0:0:33 -4.30
0:0:33 -4.59
0:0:33 -4.52
0:0:33 -4.28
0:0:33 -4.44
0:0:33 -4.53
0:0:33 -4.60
0:0:33 -4.40
0:0:33 -4.80
0:0:33 -5.11
0:0:33 -4.58
0:0:34 -4.36
0:0:34 -4.35
0:0:34 -4.65
0:0:34 -4.63
0:0:34 -4.57
0:0:34 -4.75
0:0:34 -4.48
0:0:34 -4.31
0:0:34 -4.77
0:0:34 -4.99
0:0:34 -4.58
0:0:34 -4.67
0:0:35 -4.81
0:0:35 -4.94
0:0:35 -4.93
0:0:35 -4.81
0:0:35 -5.02
0:0:35 -5.07
0:0:35 -5.26
0:0:35 -5.48
0:0:35 -5.37
0:0:35 -3.99
0:0:35 -4.05
0:0:36 -3.58
0:0:36 -1.44
0:0:36 -0.80
0:0:36 4.14
0:0:36 25.35
0:0:36 201.44
0:0:36 1402.85
