time force
0:0:2 -0.10
0:0:2 -0.24
0:0:2 -0.21
0:0:2 -0.32
0:0:2 -0.40
0:0:2 -0.36
0:0:2 -0.20
0:0:2 -0.08
0:0:2 -0.24
0:0:2 -0.24
0:0:3 -0.49
0:0:3 -0.49
0:0:3 -0.01
0:0:3 -0.18
0:0:3 -0.28
0:0:3 -0.29
0:0:3 -0.27
0:0:3 -0.13
0:0:3 -0.22
0:0:3 -0.18
0:0:3 -0.14
0:0:4 -0.16
0:0:4 -0.35
0:0:4 -0.51
0:0:4 -0.48
0:0:4 -0.70
0:0:4 -0.62
0:0:4 -0.48
0:0:4 -0.20
0:0:4 0.19
0:0:4 -0.07
0:0:4 -0.45
0:0:4 -0.37
0:0:5 -0.03
0:0:5 -0.10
0:0:5 -0.05
0:0:5 -0.14
0:0:5 -0.47
0:0:5 -0.49
0:0:5 -0.34
0:0:5 -0.34
0:0:5 -0.84
0:0:5 -0.42
0:0:5 -0.07
0:0:6 -0.38
0:0:6 -0.48
0:0:6 -0.22
0:0:6 -0.34
0:0:6 -0.44
0:0:6 -0.31
0:0:6 -0.30
0:0:6 -0.69
0:0:6 -0.66
0:0:6 -0.62
0:0:6 -0.57
0:0:6 -0.46
0:0:7 -0.36
0:0:7 -0.36
0:0:7 -0.40
0:0:7 -0.40
0:0:7 -0.80
0:0:7 -0.80
0:0:7 -0.73
0:0:7 -0.71
0:0:7 -0.29
0:0:7 -0.16
0:0:7 0.29
0:0:8 -0.01
0:0:8 -0.22
0:0:8 0.06
0:0:8 -0.10
0:0:8 0.04
0:0:8 0.11
0:0:8 0.07
0:0:8 0.28
0:0:8 0.21
0:0:8 -0.03
0:0:8 0.17
0:0:8 0.14
0:0:9 -0.11
0:0:9 -0.10
0:0:9 -0.22
0:0:9 -0.19
0:0:9 0.13
0:0:9 -0.09
0:0:9 -0.39
0:0:9 -0.19
0:0:9 -0.12
0:0:9 -0.40
0:0:9 -0.45
0:0:10 -0.12
0:0:10 0.16
0:0:10 0.20
0:0:10 0.15
0:0:10 0.29
0:0:10 0.10
0:0:10 -0.13
0:0:10 0.41
0:0:10 0.15
0:0:10 0.07
0:0:10 0.32
0:0:10 0.39
0:0:11 0.16
0:0:11 0.07
0:0:11 0.18
0:0:11 0.28
0:0:11 0.31
0:0:11 0.37
0:0:11 0.44
0:0:11 0.46
0:0:11 0.40
0:0:11 0.42
0:0:11 0.21
0:0:12 0.22
0:0:12 0.59
0:0:12 0.34
0:0:12 0.30
0:0:12 0.55
0:0:12 0.41
0:0:12 0.46
0:0:12 0.03
0:0:12 0.30
0:0:12 0.40
0:0:12 0.39
0:0:13 0.23
0:0:13 0.25
0:0:13 0.37
0:0:13 0.46
0:0:13 0.50
0:0:13 0.61
0:0:13 0.39
0:0:13 0.04
0:0:13 0.21
0:0:13 0.49
0:0:13 0.39
0:0:13 0.36
0:0:14 0.46
0:0:14 0.47
0:0:14 0.21
0:0:14 0.31
0:0:14 0.44
0:0:14 0.35
0:0:14 0.45
0:0:14 0.24
0:0:14 0.31
0:0:14 0.54
0:0:14 0.35
0:0:15 0.27
0:0:15 0.37
0:0:15 0.36
0:0:15 0.29
0:0:15 0.20
0:0:15 0.21
0:0:15 0.03
0:0:15 0.09
0:0:15 0.10
0:0:15 0.25
0:0:15 0.25
0:0:15 0.08
0:0:16 0.03
0:0:16 0.40
0:0:16 0.65
0:0:16 0.48
0:0:16 0.35
0:0:16 0.30
0:0:16 0.15
0:0:16 -0.06
0:0:16 0.11
0:0:16 0.37
0:0:16 0.27
0:0:17 0.20
0:0:17 0.36
0:0:17 0.40
0:0:17 0.17
0:0:17 0.20
0:0:17 -0.02
0:0:17 -0.14
0:0:17 0.12
0:0:17 0.41
0:0:17 0.62
0:0:17 0.36
0:0:17 0.26
0:0:18 0.45
0:0:18 0.27
0:0:18 -0.12
0:0:18 0.10
0:0:18 0.32
0:0:18 0.32
0:0:18 0.04
0:0:18 0.31
0:0:18 0.33
0:0:18 0.29
0:0:18 0.51
0:0:19 0.78
0:0:19 0.83
0:0:19 1.20
0:0:19 1.74
0:0:19 3.07
0:0:19 5.88
0:0:19 14.85
0:0:19 46.02
0:0:19 230.79
0:0:19 1127.81
0:0:19 2658.10
0:0:19 4186.80
0:0:20 5985.52
0:0:20 7808.75
0:0:20 8500.42
0:0:20 9406.88
0:0:20 7493.44
0:0:20 4529.47
0:0:20 2320.10
0:0:20 987.16
0:0:20 671.53
0:0:20 535.92
0:0:20 378.59
0:0:21 145.40
0:0:21 17.96
0:0:21 -22.45
0:0:21 -41.20
0:0:21 -48.79
0:0:21 -54.70
0:0:21 -60.98
0:0:21 -64.17
0:0:21 -65.44
0:0:21 -66.34
0:0:21 -66.87
0:0:21 -66.60
0:0:22 -66.63
0:0:22 -66.88
0:0:22 -67.02
0:0:22 -66.56
0:0:22 -66.49
0:0:22 -66.74
0:0:22 -67.30
0:0:22 -67.40
0:0:22 -67.26
0:0:22 -66.73
0:0:22 -66.37
0:0:23 -66.01
0:0:23 -65.97
0:0:23 -65.70
0:0:23 -65.61
0:0:23 -65.49
0:0:23 -65.38
0:0:23 -65.24
0:0:23 -65.40
0:0:23 -65.04
0:0:23 -64.94
0:0:23 -64.82
0:0:23 -65.10
0:0:24 -65.26
0:0:24 -65.36
0:0:24 -65.46
0:0:24 -65.44
0:0:24 -65.68
0:0:24 -65.75
0:0:24 -65.67
